id,text,label,label_name
0,"Nhìn chung, tôi không ngờ môn học này lại thú vị và bổ ích đến vậy, cảm ơn thầy rất nhiều.",2,positive
1,"Sau khi hoàn thành môn học, tôi đã kỳ vọng nhiều hơn nhưng kết quả thực sự là một sự thất vọng lớn Mong thầy cô tiếp tục phát huy.",0,negative
2,"Giáo viên rất nhiệt tình, tài liệu học tập phong phú và chất lượng Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
3,"Qua quá trình học, môn học cần được cải tổ hoàn toàn về cả nội dung lẫn phương pháp giảng dạy.",0,negative
4,"Tôi nghĩ rằng tôi rất buồn vì phải học môn này, nó không đem lại bất kỳ giá trị nào.",0,negative
5,"Môn học vừa đủ, không gây khó chịu nhưng cũng không tạo cảm hứng đặc biệt.",1,neutral
6,Môn học cần được cải tổ hoàn toàn về cả nội dung lẫn phương pháp giảng dạy Tôi sẽ giới thiệu cho bạn bè.,0,negative
7,"Nhìn chung, cô giáo tạo ra áp lực không cần thiết mà không hề hỗ trợ sinh viên vượt qua.",0,negative
8,"Theo tôi, cô giáo không có sự chuẩn bị, nhiều buổi học không có nội dung gì có giá trị.",0,negative
9,"Cô giáo không có sự chuẩn bị, nhiều buổi học không có nội dung gì có giá trị Tôi sẽ giới thiệu cho bạn bè.",0,negative
10,"Nhìn chung, thầy giảng tương đối ổn, có lúc hay có lúc chưa hay tùy buổi Hy vọng môn học sẽ tốt hơn trong tương lai.",1,neutral
11,"Qua quá trình học, có một số bổ sung về slide và tài liệu sẽ giúp sinh viên hiểu bài tốt hơn Tôi sẽ giới thiệu cho bạn bè.",1,neutral
12,"Tôi nghĩ rằng giáo viên giảng đủ giờ và đúng lịch, nội dung bám sát đề cương đã đề ra.",1,neutral
13,"Nhìn chung, môn học có quá nhiều lý thuyết mà không có thực hành, sinh viên không tiếp thu được Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,negative
14,"Nhìn chung, chất lượng giảng dạy rất tốt, xứng đáng được nhiều sinh viên lựa chọn Mong thầy cô tiếp tục phát huy.",2,positive
15,"Tôi nghĩ rằng giáo viên giỏi chuyên môn, có kỹ năng sư phạm xuất sắc và tâm huyết với nghề Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
16,"Sau khi hoàn thành môn học, tôi thấy môn học có điểm hay nhưng cũng có những điểm cần cải thiện.",1,neutral
17,"Theo ý kiến cá nhân tôi, nội dung sinh động và phong phú, thầy luôn bổ sung ví dụ từ thực tế nghề nghiệp.",2,positive
18,"Sau khi hoàn thành môn học, giáo viên thiếu chuyên môn, nhiều kiến thức sai sót và không được sửa chữa Tôi đã học được nhiều điều từ trải nghiệm này.",0,negative
19,"Theo tôi, đây là môn học tôi tâm đắc nhất trong năm học, xứng đáng 5 sao Mong thầy cô tiếp tục phát huy.",2,positive
20,"Giảng dạy quá máy móc và theo khuôn mẫu, thiếu sự linh hoạt và sáng tạo Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,negative
21,"Nhìn chung, lớp học quá đông mà thầy không có phương án quản lý hiệu quả.",0,negative
22,Môn học giúp tôi phát triển toàn diện cả về lý thuyết lẫn kỹ năng thực hành.,2,positive
23,"Trong học kỳ vừa qua, cô không công bằng trong việc đánh giá, thiên vị một số sinh viên nhất định Tôi đã học được nhiều điều từ trải nghiệm này.",0,negative
24,"Theo tôi, môn học này thực sự xứng đáng là một trong những môn tốt nhất của trường Tôi sẽ giới thiệu cho bạn bè.",2,positive
25,"Qua quá trình học, tài liệu học tập được chuẩn bị đầy đủ và chi tiết, hỗ trợ tốt cho việc học Tôi đã học được nhiều điều từ trải nghiệm này.",2,positive
26,"Theo ý kiến cá nhân tôi, bài kiểm tra phản ánh được phần lớn nội dung học, tuy rằng vẫn có điểm chưa cân đối Tôi sẽ giới thiệu cho bạn bè.",1,neutral
27,"Trong học kỳ vừa qua, nhìn chung ổn, có một số cải thiện nhỏ thì sẽ tốt hơn Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,neutral
28,"Qua quá trình học, thầy luôn lắng nghe và tôn trọng ý kiến của sinh viên, tạo ra không khí học tốt.",2,positive
29,"Nhìn chung, giáo viên không hỗ trợ sinh viên khi gặp khó khăn, khó tiếp cận ngoài giờ học.",0,negative
30,"Tôi nghĩ rằng môn học rất bổ ích, tôi học được nhiều kiến thức có thể áp dụng vào thực tế Hy vọng môn học sẽ tốt hơn trong tương lai.",2,positive
31,"Sau khi hoàn thành môn học, thầy giảng dạy rất nhiệt tình, bài học dễ hiểu và có nhiều ví dụ thực tế Mong thầy cô tiếp tục phát huy.",2,positive
32,"Nhìn chung, giáo viên có năng lực chuyên môn, nhưng kỹ năng giảng dạy có thể được cải thiện.",1,neutral
33,"Nhìn chung, tôi không cảm thấy được hỗ trợ hay định hướng gì từ giáo viên trong suốt học kỳ Tôi sẽ giới thiệu cho bạn bè.",0,negative
34,"Giáo viên giỏi chuyên môn, có kỹ năng sư phạm xuất sắc và tâm huyết với nghề.",2,positive
35,"Sau khi hoàn thành môn học, môn học được thiết kế hợp lý về cơ bản, nhưng cần bổ sung ví dụ thực tế hơn.",1,neutral
36,"Nội dung bài giảng phong phú, đa dạng và rất có giá trị thực tiễn Hy vọng môn học sẽ tốt hơn trong tương lai.",2,positive
37,"Trong học kỳ vừa qua, thầy giảng dạy rất nhiệt tình, bài học dễ hiểu và có nhiều ví dụ thực tế.",2,positive
38,"Theo tôi, cô không công bằng trong việc đánh giá, thiên vị một số sinh viên nhất định.",0,negative
39,"Môn học có chất lượng trung bình, không quá tốt cũng không quá kém Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,neutral
40,"Tôi nghĩ rằng tôi rất buồn vì phải học môn này, nó không đem lại bất kỳ giá trị nào Tôi sẽ giới thiệu cho bạn bè.",0,negative
41,"Nhìn chung, môn học rất bổ ích, tôi học được nhiều kiến thức có thể áp dụng vào thực tế Tôi đã học được nhiều điều từ trải nghiệm này.",2,positive
42,"Nhìn chung, môn học đạt tiêu chuẩn cơ bản, không vượt trội nhưng cũng không đáng phê phán.",1,neutral
43,"Theo tôi, tôi học được những điều tối thiểu cần biết từ môn này, không nhiều không ít.",1,neutral
44,"Thầy không giao đủ bài tập thực hành, sinh viên không có cơ hội luyện tập kỹ năng Mong thầy cô tiếp tục phát huy.",0,negative
45,Tôi không học được gì bổ ích từ môn học này sau cả một học kỳ Mong thầy cô tiếp tục phát huy.,0,negative
46,"Sau khi hoàn thành môn học, cô dạy tốt ở một số buổi, nhưng vẫn có những buổi chất lượng chưa đều Mong thầy cô tiếp tục phát huy.",1,neutral
47,"Giáo viên giảng đủ, không quá nhiệt tình nhưng cũng không tệ Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,neutral
48,"Môn học có cấu trúc rõ ràng, lịch học được tuân thủ, không có vấn đề gì đặc biệt.",1,neutral
49,"Theo tôi, cô tạo ra một lớp học tích cực nơi mọi sinh viên đều cảm thấy được tôn trọng Mong thầy cô tiếp tục phát huy.",2,positive
50,"Sau khi hoàn thành môn học, bài giảng đơn điệu và lặp lại, không có sự đổi mới hay sáng tạo nào.",0,negative
51,"Trong học kỳ vừa qua, tôi rất buồn vì phải học môn này, nó không đem lại bất kỳ giá trị nào Hy vọng môn học sẽ tốt hơn trong tương lai.",0,negative
52,"Phòng học không đủ điều kiện, thiết bị hỏng mà không được sửa chữa Tôi sẽ giới thiệu cho bạn bè.",0,negative
53,"Nhìn chung, nội dung sinh động và phong phú, thầy luôn bổ sung ví dụ từ thực tế nghề nghiệp.",2,positive
54,"Sau khi hoàn thành môn học, môn học giúp tôi phát triển tư duy và kỹ năng giải quyết vấn đề hiệu quả Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
55,Cô luôn cố gắng làm cho bài học trở nên thú vị và dễ nhớ bằng nhiều phương pháp.,2,positive
56,"Theo tôi, giáo viên thiếu nhiệt tình, rõ ràng không muốn dạy và không đầu tư vào việc giảng.",0,negative
57,"Theo tôi, tôi rất thích cách thầy kết hợp lý thuyết với các bài tập thực hành.",2,positive
58,"Trong học kỳ vừa qua, cô dạy ổn, sinh viên học được kiến thức cơ bản nhưng chưa thật sự ấn tượng.",1,neutral
