id,text,label,label_name
1750,"Theo ý kiến cá nhân tôi, thầy luôn khuyến khích sự sáng tạo và tư duy phản biện trong quá trình học.",2,positive
1845,"Qua quá trình học, giáo viên có kiến thức rộng và sâu, trả lời mọi câu hỏi của sinh viên thấu đáo Hy vọng môn học sẽ tốt hơn trong tương lai.",2,positive
1337,"Nhìn chung, môn học cho tôi kiến thức nền tảng cần thiết, tuy nhiên còn thiếu chiều sâu Mong thầy cô tiếp tục phát huy.",1,neutral
1528,"Sau khi hoàn thành môn học, nội dung môn học đủ cơ bản, phương pháp giảng dạy có thể đổi mới để tốt hơn Hy vọng môn học sẽ tốt hơn trong tương lai.",1,neutral
394,"Nhìn chung, giáo viên luôn nhiệt tình hỗ trợ sinh viên, kể cả ngoài giờ học Tôi sẽ giới thiệu cho bạn bè.",2,positive
39,"Theo tôi, thầy không giao đủ bài tập thực hành, sinh viên không có cơ hội luyện tập kỹ năng Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,negative
1146,"Qua quá trình học, tôi đánh giá cao chất lượng giảng dạy và sẽ tiếp tục đăng ký môn của thầy Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
979,"Tôi nghĩ rằng giáo viên đáp ứng được yêu cầu giảng dạy, tuy không có gì thực sự nổi bật Tôi đã học được nhiều điều từ trải nghiệm này.",1,neutral
1388,"Qua quá trình học, có thể cải thiện được nhưng nhìn chung không đến mức cần phải lo lắng quá Hy vọng môn học sẽ tốt hơn trong tương lai.",1,neutral
1795,"Theo tôi, nội dung môn học đủ cơ bản, phương pháp giảng dạy có thể đổi mới để tốt hơn Tôi đã học được nhiều điều từ trải nghiệm này.",1,neutral
1294,"Nhìn chung, khóa học đáp ứng được yêu cầu cơ bản, có thể cải thiện thêm ở một số phần Hy vọng môn học sẽ tốt hơn trong tương lai.",1,neutral
1343,"Tôi không có nhiều cảm xúc rõ ràng về môn học này, nó bình thường Tôi đã học được nhiều điều từ trải nghiệm này.",1,neutral
224,"Giáo viên đáp ứng được yêu cầu giảng dạy, tuy không có gì thực sự nổi bật.",1,neutral
830,Môn học không có gì đặc biệt nhưng cũng không có vấn đề gì quá lớn cần chỉ ra Tôi sẽ giới thiệu cho bạn bè.,1,neutral
977,"Theo tôi, giáo viên đáp ứng được yêu cầu giảng dạy, tuy không có gì thực sự nổi bật Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,neutral
1444,Tôi học được một số điều hữu ích nhưng cũng có những phần không thực sự cần thiết Tôi đã học được nhiều điều từ trải nghiệm này.,1,neutral
913,"Theo tôi, giáo viên không chuẩn bị bài giảng kỹ, nhiều lần nhầm lẫn kiến thức cơ bản Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,negative
1526,"Sau khi hoàn thành môn học, môn học có nội dung hay và kiến thức thực sự có thể áp dụng được.",2,positive
1956,"Môn học có chất lượng trung bình, không quá tốt cũng không quá kém Mong thầy cô tiếp tục phát huy.",1,neutral
386,"Theo tôi, tôi không học được gì bổ ích từ môn học này sau cả một học kỳ.",0,negative
406,"Trong học kỳ vừa qua, chất lượng giảng dạy quá thấp so với học phí mà sinh viên phải đóng Tôi đã học được nhiều điều từ trải nghiệm này.",0,negative
1655,Tài liệu học đầy đủ nhưng một số phần khá trừu tượng và khó nắm bắt Mong thầy cô tiếp tục phát huy.,1,neutral
144,"Bài tập vừa phải, không quá khó cũng không quá dễ, phù hợp với nội dung học Hy vọng môn học sẽ tốt hơn trong tương lai.",1,neutral
198,"Môn học được thiết kế thực tế, kết nối chặt chẽ với yêu cầu của thị trường lao động Hy vọng môn học sẽ tốt hơn trong tương lai.",2,positive
1248,"Qua quá trình học, cô rất quan tâm đến sinh viên, tạo môi trường học tập thân thiện và hiệu quả Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
805,"Sau khi hoàn thành môn học, thầy truyền đạt kiến thức đủ để sinh viên vượt qua kỳ thi, nhưng chưa sâu Tôi đã học được nhiều điều từ trải nghiệm này.",1,neutral
1958,"Theo tôi, tôi rất hài lòng với khóa học này, mọi thứ đều được tổ chức rất tốt Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,positive
1788,"Môn học cung cấp kiến thức nền tảng, cần thêm ứng dụng thực tế để hoàn thiện Tôi đã học được nhiều điều từ trải nghiệm này.",1,neutral
953,"Qua quá trình học, phương pháp học chủ động mà cô áp dụng giúp sinh viên tiếp thu nhanh hơn.",2,positive
49,"Theo ý kiến cá nhân tôi, cô giáo không thể hiện được sự titrọng với sinh viên và nghề nghiệp của mình Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,negative
44,"Bài giảng đủ để hiểu bài, nhưng không có gì thực sự khiến sinh viên nhớ mãi Mong thầy cô tiếp tục phát huy.",1,neutral
1189,"Trong học kỳ vừa qua, phương pháp đánh giá không phù hợp, tập trung quá nhiều vào học thuộc lòng.",0,negative
