text,label
"Thầy dạy nhiệt tình, bài tập vừa sức.",2
"Điểm số không công bằng, tiêu chí mơ hồ.",0
Em rất thích cách truyền đạt của cô!,2
Lãng phí thời gian khi học môn này.,0
Giảng viên có chuyên môn tốt nhưng chưa thu hút.,1
"Môn học ở mức độ vừa phải, kiến thức ổn!",1
Rất hài lòng với cách tổ chức môn học.,2
Giảng viên có chuyên môn tốt nhưng chưa thu hút.,1
Môn học giúp em hiểu rõ hơn về ứng dụng.,2
Thất vọng về cách tổ chức của khoa.,0
Slide bài giảng rất đẹp và dễ hiểu!,2
Nội dung hơi nhiều lý thuyết nhưng cũng hay.,1
"Môn học ở mức độ vừa phải, kiến thức ổn!",1
Em rất thích cách truyền đạt của cô!,2
Slide bài giảng rất đẹp và dễ hiểu.,2
"Nội dung cập nhật, nhiều ví dụ thực tế!",2
"Môn học này rất hay, kiến thức rất thực tế.",2
"Thầy giảng hơi nhanh, cần chậm lại tí.",1
Phương pháp giảng dạy rất hiện đại.,2
"Thầy dạy nhiệt tình, bài tập vừa sức!",2
"Môn học ở mức độ vừa phải, kiến thức ổn.",1
"Bình thường, không có gì nổi bật.",1
Đề thi bám sát nội dung đã học.,1
Phòng học đôi lúc hơi nóng!,1
"Môn học ở mức độ vừa phải, kiến thức ổn.",1
Thất vọng về cách tổ chức của khoa!,0
Học kỳ này môn học được chuyển sang online.,1
Giảng viên có chuyên môn tốt nhưng chưa thu hút.,1
Không hiểu thầy đang nói gì luôn.,0
Tài liệu cũ kỹ từ chục năm trước.,0
Không hiểu thầy đang nói gì luôn.,0
Học kỳ này môn học được chuyển sang online.,1
"Điểm số không công bằng, tiêu chí mơ hồ.",0
Giáo viên hay cho nghỉ học mà không báo!,0
"Cô giáo quá khó tính, hay mắng sinh viên.",0
Phương pháp giảng dạy rất hiện đại.,2
"Môn học ở mức độ vừa phải, kiến thức ổn.",1
Thất vọng về cách tổ chức của khoa.,0
Tài liệu đầy đủ nhưng một số phần khó hiểu.,1
"Điểm số không công bằng, tiêu chí mơ hồ.",0
Cảm ơn thầy đã đồng hành cùng chúng em.,2
Tài liệu cũ kỹ từ chục năm trước.,0
"Môn học này rất hay, kiến thức rất thực tế!",2
Môn học giúp em hiểu rõ hơn về ứng dụng.,2
Học kỳ này môn học được chuyển sang online!,1
"Cô giáo quá khó tính, hay mắng sinh viên.",0
Giáo viên luôn lắng nghe ý kiến sinh viên!,2
"Điểm số không công bằng, tiêu chí mơ hồ.",0
Môn học giúp em hiểu rõ hơn về ứng dụng.,2
Rất hài lòng với cách tổ chức môn học.,2
Giảng viên có chuyên môn tốt nhưng chưa thu hút.,1
"Điểm số không công bằng, tiêu chí mơ hồ.",0
