id,text,label,annotator1,annotator2,agree
281,"Nhìn chung, tôi đã kỳ vọng nhiều hơn nhưng kết quả thực sự là một sự thất vọng lớn Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,0,0,True
838,Tôi nghĩ rằng cô giáo tạo ra áp lực không cần thiết mà không hề hỗ trợ sinh viên vượt qua.,0,0,0,True
1610,"Thầy dạy không rõ ràng, bỏ qua nhiều phần quan trọng mà không có lý do.",0,0,0,True
202,"Tôi học được những điều tối thiểu cần biết từ môn này, không nhiều không ít Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
405,"Theo ý kiến cá nhân tôi, thầy giải thích các khái niệm phức tạp một cách đơn giản và trực quan Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,2,True
115,"Sau khi hoàn thành môn học, cô không công bằng trong việc đánh giá, thiên vị một số sinh viên nhất định Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,0,0,True
218,"Thầy không tôn trọng ý kiến của sinh viên, lớp học thiếu sự tương tác cần thiết Mong thầy cô tiếp tục phát huy.",0,0,0,True
259,"Giáo viên rất nhiệt tình, tài liệu học tập phong phú và chất lượng Hy vọng môn học sẽ tốt hơn trong tương lai.",2,2,2,True
272,"Tài liệu học tập được chuẩn bị đầy đủ và chi tiết, hỗ trợ tốt cho việc học Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
637,"Nhìn chung, thầy có vẻ am hiểu chuyên môn, nhưng chưa biết cách làm bài giảng sống động Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
1087,"Trong học kỳ vừa qua, cô giáo quan tâm đến sinh viên ở một mức độ vừa phải, không quá nhiều không ít.",1,1,1,True
1734,"Trong học kỳ vừa qua, thầy truyền đạt kiến thức đủ để sinh viên vượt qua kỳ thi, nhưng chưa sâu Mong thầy cô tiếp tục phát huy.",1,1,1,True
273,"Trong học kỳ vừa qua, môn học này không cần thiết, cần phải xem xét lại chương trình học.",0,0,0,True
1770,"Trong học kỳ vừa qua, thầy truyền đạt kiến thức đủ để sinh viên vượt qua kỳ thi, nhưng chưa sâu Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
1397,"Môn học rất bổ ích, tôi học được nhiều kiến thức có thể áp dụng vào thực tế.",2,2,2,True
1744,"Tôi nghĩ rằng giáo viên không chuẩn bị bài giảng kỹ, nhiều lần nhầm lẫn kiến thức cơ bản Tôi đã học được nhiều điều từ trải nghiệm này.",0,0,0,True
1027,"Theo ý kiến cá nhân tôi, môn học cho tôi kiến thức nền tảng cần thiết, tuy nhiên còn thiếu chiều sâu Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
1389,"Cách cô giải thích các khái niệm khó rất dễ hiểu, tôi tiếp thu nhanh hơn nhiều.",2,2,2,True
1045,"Nhìn chung, cô chia sẻ kinh nghiệm thực tế quý báu, giúp sinh viên chuẩn bị tốt cho tương lai Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,2,True
1178,"Tôi không ngờ môn học này lại thú vị và bổ ích đến vậy, cảm ơn thầy rất nhiều Hy vọng môn học sẽ tốt hơn trong tương lai.",2,2,1,False
799,"Nhìn chung, môn học không có gì đặc biệt nhưng cũng không có vấn đề gì quá lớn cần chỉ ra Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
932,"Trong học kỳ vừa qua, giáo viên không hỗ trợ sinh viên khi gặp khó khăn, khó tiếp cận ngoài giờ học.",0,0,0,True
1560,"Qua quá trình học, cô giáo đủ năng lực, chỉ cần cải thiện thêm về cách tiếp cận với sinh viên.",1,1,1,True
1908,Tôi nghĩ rằng môn học này thực sự mở ra cánh cửa mới cho tôi trong lĩnh vực chuyên ngành Tôi sẽ giới thiệu cho bạn bè.,2,2,2,True
756,"Sau khi hoàn thành môn học, cô giáo không có sự chuẩn bị, nhiều buổi học không có nội dung gì có giá trị.",0,0,0,True
1168,Có thể cải thiện được nhưng nhìn chung không đến mức cần phải lo lắng quá.,1,1,1,True
1968,"Nhìn chung, cô giáo thỉnh thoảng giải thích chưa thật rõ, nhưng sẵn sàng trả lời câu hỏi Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
1736,"Nhìn chung, bài kiểm tra không liên quan đến những gì được dạy, điểm số không phản ánh nỗ lực.",0,0,0,True
835,"Trong học kỳ vừa qua, giáo viên luôn chuẩn bị bài kỹ càng và có tâm trong từng buổi giảng.",2,2,2,True
1282,"Trong học kỳ vừa qua, môn học có quá nhiều bài tập nhưng không có hướng dẫn rõ ràng, gây nhầm lẫn.",0,0,0,True
81,"Theo tôi, tổng thể môn học ở mức trung bình, cần đánh giá lại một số nội dung Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
1991,"Theo ý kiến cá nhân tôi, tôi thấy môn học này thực sự có ích, giúp tôi hiểu sâu hơn về chuyên ngành Mong thầy cô tiếp tục phát huy.",2,2,0,False
1201,"Tôi nghĩ rằng môn học có chất lượng trung bình, không quá tốt cũng không quá kém Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
986,"Tôi nghĩ rằng cách chấm điểm không công bằng, tiêu chí đánh giá không rõ ràng và không nhất quán.",0,0,2,False
1190,"Trong học kỳ vừa qua, môn học này thực sự xứng đáng là một trong những môn tốt nhất của trường.",2,2,1,False
1623,"Tôi nghĩ rằng thầy thỉnh thoảng đi sâu vào chi tiết không cần thiết, làm loãng trọng tâm bài Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
602,"Theo ý kiến cá nhân tôi, thầy có vẻ am hiểu chuyên môn, nhưng chưa biết cách làm bài giảng sống động.",1,1,1,True
171,Thầy có khả năng truyền đạt kiến thức phức tạp một cách đơn giản và dễ hiểu Tôi sẽ giới thiệu cho bạn bè.,2,2,2,True
994,"Theo tôi, nội dung môn học hợp lý, cần bổ sung thêm phần thực hành để cân đối.",1,1,1,True
662,"Sau khi hoàn thành môn học, môn học không có gì đặc biệt nhưng cũng không có vấn đề gì quá lớn cần chỉ ra Mong thầy cô tiếp tục phát huy.",1,1,1,True
113,"Sau khi hoàn thành môn học, giáo viên giảng đủ giờ và đúng lịch, nội dung bám sát đề cương đã đề ra.",1,1,1,True
396,"Theo ý kiến cá nhân tôi, cô không trả lời email của sinh viên, rất khó liên lạc khi cần hỗ trợ.",0,0,0,True
1421,"Nhìn chung, tôi thấy môn học có điểm hay nhưng cũng có những điểm cần cải thiện Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
2050,"Nhìn chung, thầy truyền đạt kiến thức đủ để sinh viên vượt qua kỳ thi, nhưng chưa sâu Mong thầy cô tiếp tục phát huy.",1,1,1,True
1353,"Tôi nghĩ rằng giảng dạy quá máy móc và theo khuôn mẫu, thiếu sự linh hoạt và sáng tạo.",0,0,0,True
937,"Nhìn chung, môn học cần được xem xét và cải tổ triệt để để xứng đáng với chương trình đào tạo Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
307,Phương pháp học chủ động mà cô áp dụng giúp sinh viên tiếp thu nhanh hơn Hy vọng môn học sẽ tốt hơn trong tương lai.,2,2,2,True
708,"Qua quá trình học, môn học không có mục tiêu học tập rõ ràng, sinh viên không biết cần đạt gì Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
1561,Đây là một môn học tuyệt vời với nội dung phong phú và giáo viên tâm huyết.,2,2,2,True
1923,"Trong học kỳ vừa qua, cô giáo không thể hiện được sự titrọng với sinh viên và nghề nghiệp của mình.",0,0,0,True
1700,"Nhìn chung, tài liệu học đầy đủ nhưng một số phần khá trừu tượng và khó nắm bắt Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
1705,"Theo ý kiến cá nhân tôi, cô tổ chức lớp học tương đối trật tự, nội dung đủ nhưng chưa thật phong phú Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
670,Tôi nghĩ rằng môn học này không làm tôi hứng thú lắm nhưng cũng không đến mức ghét Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.,1,1,1,True
1440,"Qua quá trình học, cô không tôn trọng thời gian của sinh viên, thường bắt đầu muộn và kết thúc sớm.",0,0,0,True
